TF,P.value,log2.fold.change,group
SPI1,2.02445736768477e-73,4.11046214915077,G1
KLF4,3.17876670491087e-73,2.85389037471431,G1
CEBPA,3.4411509159421e-73,4.36238118997613,G1
JDP2,3.64820306630484e-73,3.38707824046684,G1
MAFB,1.56676055511684e-72,3.80531135294797,G1
ETS2,1.60630605180588e-72,1.90089059118106,G1
BACH1,2.19320678017444e-72,1.97488517393602,G1
RXRA,2.4028621707187e-72,2.63006049689945,G1
CEBPD,5.90501805667801e-72,3.74030417705391,G1
NFE2,4.13870331056561e-71,3.59309859327756,G1
ZNF467,2.24306158386965e-70,1.91001856811812,G1
CEBPG,3.38984101486052e-70,1.78345303133833,G1
CREB5,3.72379754004246e-70,3.08570015002124,G1
CEBPB,4.5301118290477e-70,3.10230538673196,G1
IRF5,1.88452522489359e-69,2.18284103745743,G1
RARA,3.75744320154858e-69,1.4158197705008,G1
MITF,1.93283769122589e-68,2.5512488567547,G1
VDR,2.3455736789784e-68,2.40333599685723,G1
BCL6,3.48092718278838e-68,2.06800685579017,G1
ETV6,7.74744547663679e-68,1.05058264792966,G1
BATF3,1.73457866481517e-67,2.59816144106892,G1
SOX4,2.16179098188402e-67,2.36994513194744,G1
KLF10,8.10602887963795e-67,1.46428483863002,G1
TFEC,2.04811631988157e-66,2.83315040452645,G1
SMAD1,1.55437155977626e-65,2.32523177192657,G1
ATF3,3.38099786577098e-63,2.08472716601928,G1
CUX1,6.78253591007174e-63,1.25052892102771,G1
MAFG,1.17324106270235e-62,1.33123538996542,G1
ESRRA,1.42807744347936e-62,1.09639067835999,G1
ATF5,1.98104190149351e-62,1.60903697926673,G1
NFIL3,5.19595464868678e-62,1.88149928883307,G1
VENTX,1.66951771031499e-61,2.09279001807253,G1
FOSL2,1.32772694664736e-60,2.1342928903257,G1
FOS,2.72554264832913e-60,1.81022362558577,G1
NR6A1,4.62458520274521e-60,2.07450199914021,G1
TFE3,1.79926323613635e-59,1.19434695712105,G1
KLF11,6.2853859847086e-59,1.19201916910357,G1
ZFHX3,9.69179043747772e-59,1.75845213520611,G1
RBPJ,1.28663900872839e-58,0.793503834923932,G1
STAT6,2.82096127756985e-58,0.824586179030794,G1
NFE2L2,6.52296784428064e-58,0.922598142636618,G1
CENPBD1,9.58471522206964e-58,1.37761214239225,G1
HHEX,2.33307650373526e-57,2.64599932726497,G1
STAT2,8.92348350833279e-57,0.867841881073334,G1
ARID3A,1.26841516838515e-56,1.37320593558545,G1
LYL1,1.52308184889378e-56,1.65230288929303,G1
NFE2L1,2.24384655202599e-56,1.02468292582508,G1
HMBOX1,5.2860078868293e-56,1.13295941201012,G1
SOX15,5.66448056956326e-56,1.85272301236064,G1
JUNB,7.97295621780079e-56,0.985889989515704,G1
ELF4,3.01513878746385e-55,0.914021058627181,G1
ZHX1,8.7383180147417e-55,0.965241642232165,G1
YBX3,4.71602085820159e-54,1.5439869042158,G1
ZNF217,6.78891167152642e-54,1.21227646677742,G1
HDX,3.72951222602447e-53,1.66350361783701,G1
POU2F2,4.58873883999712e-52,1.27389997624177,G1
TFEB,6.84141163074519e-52,1.22428731131666,G1
PLAGL1,6.58340600577748e-51,1.14763296035177,G1
MEF2C,6.62920247644439e-51,2.87394358851964,G1
DNTTIP1,3.51442096794964e-50,0.839734778735842,G1
REL,4.40986046957899e-50,0.988189637402035,G1
MXD1,2.51924862869526e-49,0.938723099651838,G1
NAIF1,4.87726042123822e-49,1.07319663248587,G1
BCL11A,6.33595440626046e-49,2.68574127894788,G1
OLIG1,6.42260944579742e-49,2.22739116960329,G1
ZNF655,9.36000108868684e-49,0.781277497662307,G1
POGK,1.47216362358166e-47,0.792391022729083,G1
HLX,1.97598214399169e-47,2.13099824441372,G1
NR4A1,2.15534197970151e-47,2.02889903155182,G1
CIC,8.33162321187408e-47,0.905807990777383,G1
ZNF787,1.25696880750236e-46,0.563406437340147,G1
IRF8,1.3122839077674e-46,1.87131929928391,G1
AHR,3.61901836417316e-46,1.21437436099959,G1
ZNF124,1.46196007722441e-45,0.85891130497879,G1
TCF7L2,1.97536696422213e-45,1.72808769898809,G1
MTF1,2.22926815412732e-45,0.656898086602334,G1
CEBPE,3.72088443198434e-45,2.25011507707216,G1
KDM2A,2.17364361077824e-44,1.02336364556227,G1
NR4A2,3.07018487093748e-44,1.4054741162941,G1
MEF2A,6.33405084792976e-44,0.839831907596677,G1
MYPOP,3.91097061817721e-40,0.944669494694203,G1
FOSB,4.28773090658337e-40,0.977987812265358,G1
TRPS1,1.74627447660653e-39,1.24549938439638,G1
ETV5,6.72220035634435e-39,1.19644730292566,G1
ZNF296,1.81429328842984e-38,1.363332459167,G1
PPARA,1.00647569810144e-37,0.7496062419292,G1
MBD2,4.04090837835121e-37,0.520575046487507,G1
NFE2L3,6.30021730482798e-37,0.957579762750411,G1
TET3,8.52357329144352e-37,1.14803572028948,G1
NR1H3,1.43935634475473e-36,1.17919589968393,G1
ZNF333,1.80229771907747e-36,0.606715229463086,G1
DLX4,2.21230240986987e-35,1.23674919167076,G1
MEF2D,2.90581322452187e-35,0.664466859902602,G1
MAFK,5.48530802508362e-35,0.788743187137658,G1
ASCL2,7.35939619845262e-35,1.71525310362994,G1
USF1,6.88317300367782e-34,0.582585759871899,G1
SPIB,1.02518780680861e-33,1.49458163602109,G1
ELF3,1.64022280374255e-33,1.09986784638475,G1
ZNF768,2.42378351241253e-33,0.993144139195028,G1
MNT,5.76541913820771e-33,0.676035207877939,G1
SRF,1.42584734620135e-32,0.614905894971134,G1
PLAGL2,1.63158194056407e-32,1.03720113655522,G1
EGR2,4.49620767600044e-32,1.14919871179636,G1
IRF7,7.90277022474063e-32,0.637902196258306,G1
RELB,1.22683005792048e-31,0.626596648014983,G1
ZNF628,1.00818208836522e-29,0.758773883774245,G1
TOPORS,5.69047312248538e-29,0.784032675158157,G1
ZNF697,5.46995654876671e-28,1.22506941979156,G1
ZBTB18,7.08491030921136e-27,0.655811182263719,G1
ZBTB7B,9.22150364294125e-27,0.515300342332583,G1
ZNF564,1.46593787848536e-26,0.733953351935231,G1
NFIX,1.78647073325546e-26,0.908000315465143,G1
ZNF35,2.38918393562543e-25,0.798484588351647,G1
IKZF4,3.22941161299996e-25,0.819857913600895,G1
ZEB2,1.07175692792744e-24,1.17197206589162,G1
ETV3,1.7605468326788e-23,0.565135651802162,G1
KLF1,4.35180675492392e-23,0.889657764899027,G1
TEF,1.18655520103905e-20,0.775788847223291,G1
ZNF175,5.02971924922139e-20,0.793569486284291,G1
ZNF8,3.64227655395367e-18,0.701871131319892,G1
FOSL1,5.17579230613527e-18,0.845862162742014,G1
ZBTB3,1.30567364146053e-17,0.594588788893072,G1
SPIC,4.4240314442802e-17,1.19595434274257,G1
ZKSCAN5,6.07174937565626e-17,0.503214226230149,G1
E2F2,1.78452920399502e-16,0.747562857299224,G1
NFIA,3.18012328729656e-16,0.586772208704447,G1
TCF4,3.4252869561709e-16,0.822512344007601,G1
HOXA9,5.69378873811096e-16,0.884265483306534,G1
ZNF713,1.25531538468061e-14,0.628883891302218,G1
TFCP2L1,4.06961221682957e-14,0.686529398930062,G1
EGR3,2.21335549672697e-13,0.718662438059011,G1
NR4A3,3.86324552530074e-13,0.646727544325145,G1
ISL2,2.73400949034802e-12,0.748457058137012,G1
PPARG,4.21370783520652e-12,0.65986851121127,G1
GFI1B,1.36358838609366e-11,0.701879611126708,G1
ZFP92,2.91142318537414e-10,0.521275269444086,G1
IRF4,3.46692016472514e-08,0.61096585591428,G1
HES4,1.54975368680108e-07,0.979592813595868,G1
HES1,2.82459539589744e-07,0.742317700610519,G1
CXXC5,8.71512739541608e-07,0.520172025065204,G1
ZNF304,4.33429624166032e-149,1.55753523110162,G2
TFAP2C,1.1361987584889e-148,1.50645395501106,G2
WT1,1.14543090780568e-148,1.5539805003117,G2
HKR1,3.0596994037271e-148,1.52354818759159,G2
SP9,5.81498336360708e-148,1.55493211710113,G2
SP5,2.69125259902948e-147,1.55785928170071,G2
TFAP2B,4.2587354051945e-147,1.51090933583263,G2
PAX7,3.00268047672183e-146,1.56371649286026,G2
ETV4,5.45840904765747e-146,1.47228168462894,G2
SP7,9.6504955655311e-145,1.50026417050871,G2
PAX4,1.004351717556e-144,1.46573375482008,G2
KLF17,1.55160955504553e-144,1.49400931991829,G2
SPZ1,7.02453122648628e-144,1.49053192405674,G2
SP6,7.52711937361097e-143,1.51224774895795,G2
ZIC1,8.37768073846726e-143,1.49630903892242,G2
RBPJL,1.7786662167853e-142,1.54931568055752,G2
TFDP3,2.50015604419518e-142,1.52942522833878,G2
ETV3L,3.37738568111326e-142,1.46779292934523,G2
NKX2-5,9.29171691771398e-142,1.46063414324552,G2
CTCFL,9.32849273973665e-142,1.46769077588842,G2
NFE4,1.32571334934727e-141,1.43035272228179,G2
GLIS1,1.56477622467123e-141,1.45671036519175,G2
RFX6,1.43005705995576e-139,1.52195313897074,G2
VSX2,2.69558369090683e-138,1.54375069938802,G2
ZSCAN10,4.40593288604084e-138,1.51840157561146,G2
ZFP42,5.16935980670134e-138,1.46763620147275,G2
ZIC2,2.5396097244535e-137,1.45221364438483,G2
FOXN4,3.64518262482047e-137,1.61282708731583,G2
SPDEF,5.80903847940633e-137,1.42690912525769,G2
KLF14,6.20530643177737e-137,1.37446017063529,G2
LHX9,1.99385417555447e-136,1.58809273187852,G2
INSM1,2.28337393510498e-136,1.46786177906812,G2
FOXN1,2.31006186467621e-136,1.64990345251518,G2
POU3F4,3.12464950650121e-136,1.43372066248392,G2
IRX1,3.38928017180671e-136,1.58574125292363,G2
ZNF479,4.67310530674039e-136,1.454587283724,G2
ZNF254,4.70940537909652e-136,1.64606915806831,G2
TBX20,5.98578328941671e-136,1.43244269982752,G2
VSX1,6.85330879210968e-136,1.53811108399073,G2
SALL4,1.52501821956688e-135,1.38107307704298,G2
FOXL2,1.88580611148658e-135,1.47888294450088,G2
VAX2,2.68960390750449e-135,1.52964022426641,G2
POU3F3,2.68960390750449e-135,1.41938719793713,G2
PRRX1,3.48276281667077e-135,1.42565963045396,G2
SOX9,5.86039759837582e-135,1.43199518308328,G2
SCRT2,7.32767158539714e-135,1.52816712118301,G2
PTF1A,1.11920162298637e-134,1.38553879373016,G2
MYOG,1.22279300860213e-134,1.44675163631553,G2
BARHL2,1.2561814619791e-134,1.67749093355851,G2
LHX6,3.27252812461518e-134,1.48091544518223,G2
VAX1,3.58863343135349e-134,1.66048789636673,G2
SIX1,3.71487907679562e-134,1.45347724999947,G2
EGR4,4.3318191740672e-134,1.43670363155846,G2
MYF6,7.19027944807276e-134,1.45537266699371,G2
SOX2,1.08394201912868e-133,1.39630326052363,G2
PGR,1.31299796101343e-133,1.42998717493383,G2
HAND1,1.6652043169058e-133,1.43893891555234,G2
EMX1,1.70393420093716e-133,1.64021865253213,G2
LHX2,1.9114969610482e-133,1.53890404267626,G2
GATA4,2.48974909522155e-133,1.48639532227046,G2
NEUROD1,3.13274735968878e-133,1.43518145441819,G2
EN2,3.15682408600428e-133,1.63572514617939,G2
TBX4,4.07956556221296e-133,1.55512170279194,G2
ZNF534,4.84600514637523e-133,1.38720554830006,G2
TBX3,4.90193760404696e-133,1.44581366646473,G2
PITX2,6.00345475101523e-133,1.48905313071419,G2
NR0B1,6.16632056722243e-133,1.50612090172382,G2
ASCL1,8.02761346795786e-133,1.40329397234056,G2
SOHLH2,8.30855355678341e-133,1.41831334462239,G2
NKX2-1,1.20359498629868e-132,1.46994953913117,G2
RAX,1.56047164619628e-132,1.64332157629925,G2
LTF,1.6587626317515e-132,1.49256336970936,G2
NOTO,1.87427323940975e-132,1.63560117417417,G2
NOBOX,2.43883549248829e-132,1.72914359978549,G2
PKNOX2,2.78719160493394e-132,1.58718270742249,G2
PRDM14,3.42454693754373e-132,1.56793493599655,G2
CREB3L1,4.14368964649569e-132,1.37844764185405,G2
FOXG1,4.5406106800362e-132,1.43177837171057,G2
OVOL1,5.10998258012607e-132,1.63661475168875,G2
HOXD8,7.62289604164807e-132,1.5062321307821,G2
HES5,7.94896352068553e-132,1.47445505921092,G2
ZNF705G,8.70952508255369e-132,1.5407800063724,G2
EBF2,8.97885836281801e-132,1.68072682883765,G2
PAX3,1.50078841791956e-131,1.50043775132481,G2
TBX2,1.59495368391591e-131,1.50822038028157,G2
PITX3,1.71446473477163e-131,1.53346885181582,G2
UNCX,1.72099677187461e-131,1.63912791439002,G2
TBX18,1.74074233108153e-131,1.46788838266995,G2
BARHL1,1.89983267454609e-131,1.72705451981018,G2
SNAI2,3.85177511600863e-131,1.47261877914536,G2
NKX3-2,3.970587200586e-131,1.45208280009365,G2
GLIS2,4.0160789868897e-131,1.39297432629172,G2
YBX2,4.13995039373363e-131,1.68957832286045,G2
BNC1,4.21929949238096e-131,1.50469408538042,G2
TEAD4,4.43278519992858e-131,1.55199131867643,G2
DLX6,4.6570537143538e-131,1.64364882097524,G2
ONECUT1,5.73820813032069e-131,1.58883320604754,G2
GBX1,6.72961230157401e-131,1.82447587662979,G2
HOXB13,8.54625707189272e-131,1.50744512855847,G2
HOXA13,8.77617244642967e-131,1.43163253788182,G2
CCDC169-SOHLH2,9.6123575262146e-131,1.47761706523846,G2
CDX2,1.00598158869145e-130,1.43331652082313,G2
HNF4A,1.03696143193991e-130,1.44361889086449,G2
SCRT1,1.92312481018729e-130,1.52241422642664,G2
PRRX2,2.05101043792234e-130,1.47760477562491,G2
HOXD1,2.38641011638177e-130,1.87742422339348,G2
NR2E1,2.4504980809047e-130,1.48349535036038,G2
ZNF177,2.6633182079065e-130,1.51295845511703,G2
CDX1,3.04056077528875e-130,1.36228531636364,G2
DRGX,3.05208926928372e-130,1.627897760907,G2
FOXD3,3.36764012645244e-130,1.41354101128244,G2
HOXC10,4.43870284529018e-130,1.45020682538162,G2
TBX15,4.87882530428947e-130,1.5459719317565,G2
ESRRB,6.2615236656102e-130,1.38996728703864,G2
BCL6B,7.65010001326789e-130,1.41471111913598,G2
EMX2,8.03524393062427e-130,1.71065929465596,G2
FOXC2,1.24528050532196e-129,1.3943332636908,G2
TFAP2A,1.29808318724472e-129,1.40977413185548,G2
IRX4,2.77098179509372e-129,1.7002591961289,G2
SHOX,3.11449971904473e-129,1.60594031546874,G2
POU3F2,3.38377585565604e-129,1.40426160378519,G2
TCF21,6.15925858267465e-129,1.46545083833441,G2
PHOX2A,7.26886080590122e-129,1.61763352701508,G2
NKX2-2,8.04637025908709e-129,1.38430516502747,G2
FOXE3,1.56578161338597e-128,1.51056513174817,G2
PAX2,1.65660404438783e-128,1.38182181212595,G2
DLX3,1.88950088574685e-128,1.47204993146291,G2
ZSCAN1,2.57122683290073e-128,1.38634109069456,G2
OVOL2,2.75106090258945e-128,1.65911228607205,G2
KLF15,3.12570762121689e-128,1.42053897765088,G2
DMBX1,3.60500151832804e-128,1.5972075190269,G2
HNF4G,3.71489994191541e-128,1.50069800642106,G2
DUX4,3.94483137323735e-128,1.72330355310848,G2
ONECUT2,4.14207100728668e-128,1.69292241900459,G2
DBX2,4.34915476346703e-128,1.66360057549128,G2
NR2F2,4.34915476346703e-128,1.4101112953317,G2
HOXC11,4.38191847016288e-128,1.48718529181054,G2
POU2F3,9.13870883806822e-128,1.44117409394627,G2
OTP,9.59496454130198e-128,1.74339993000975,G2
HOXB5,1.02644781986039e-127,1.50842868835904,G2
GSX2,1.18793989146935e-127,1.48292758686303,G2
DPRX,1.86186617432191e-127,1.57753710587477,G2
HEYL,2.03685974362385e-127,1.48329524831234,G2
FOXA2,4.58591689218783e-127,1.43774971939593,G2
ERG,1.07454769455929e-126,1.3560807211178,G2
OSR2,1.61973003678492e-126,1.30861410514881,G2
MYCN,1.65021446084814e-126,1.44597620106378,G2
NKX2-3,1.86628933766287e-126,1.42196083633101,G2
ZSCAN4,1.95167884376482e-126,1.37197499603051,G2
DMRTC2,2.42267811692998e-126,1.4845677352056,G2
NKX2-4,2.71933313505722e-126,1.56956215203671,G2
IRX6,4.29943636752199e-126,1.48955910712786,G2
BHLHA15,5.43564140666019e-126,1.3750712758323,G2
FOXA1,5.94341087545671e-126,1.46517709393238,G2
HNF1B,6.07758510655096e-126,1.53616143810742,G2
OLIG2,7.51307117056091e-126,1.46201476834317,G2
FIGLA,7.5410661486663e-126,1.37734092153085,G2
ZIM3,8.39982738056786e-126,1.36881008797994,G2
HMX1,8.75052364472393e-126,1.45304521739789,G2
HMX3,1.70817378816236e-125,1.54655820363947,G2
HOXA2,2.11867591855986e-125,1.45321121746291,G2
ONECUT3,2.65703210415074e-125,1.59813445611182,G2
TBX10,2.65703210415074e-125,1.51018025426782,G2
IRX5,4.44958531912261e-125,1.53110281704535,G2
NFATC4,6.54223645065093e-125,1.34759699697907,G2
FOXL1,6.81437572973278e-125,1.50698112541396,G2
FOXR1,7.72905934842125e-125,1.46823218330781,G2
LIN28A,1.02034433389453e-124,1.40388999989811,G2
HOXA11,1.43957306608332e-124,1.48576293295014,G2
DLX5,1.46103702905754e-124,1.62913227670241,G2
HOXB9,1.6446567103952e-124,1.46703136110213,G2
DLX2,1.97143371845921e-124,1.56400754754158,G2
FOXD4L3,3.00468346822218e-124,1.70717186614872,G2
BHLHE23,3.38179499569645e-124,1.68807975710659,G2
OTX1,6.17358114533948e-124,1.54278960520951,G2
RAX2,1.39988403471988e-123,1.54408993904587,G2
IRX2,1.54063510637553e-123,1.65597440530736,G2
HSFY2,1.79844553123687e-123,1.88017932119142,G2
FOXD4L4,1.8590640153269e-123,1.70302535872951,G2
GSX1,3.86733717883226e-123,1.51587636855771,G2
ZNF454,4.66522703781098e-123,1.31076220993349,G2
HAND2,4.83996563759087e-123,1.50456264942394,G2
ARID3C,4.87568962003665e-123,1.7056155416442,G2
SOX18,5.52489168549773e-123,1.4078602900228,G2
ELF5,6.86278086475988e-123,1.30519725570467,G2
FOXF2,1.0055807972048e-122,1.54691490429316,G2
GRHL2,1.54503291105445e-122,1.56537808755686,G2
LMX1B,2.01948744195715e-122,1.44281016705552,G2
PAX9,2.94608573971711e-122,1.45238565232199,G2
DMRT1,3.31264946396396e-122,1.56974170862473,G2
MESP2,3.63042229758328e-122,1.50998337543389,G2
FOXF1,4.2810234940649e-122,1.42920558868988,G2
SOX11,5.51160877131969e-122,1.48363900143281,G2
ZNF214,1.63315497302322e-121,1.41718911961524,G2
ZBTB7C,2.54071553962135e-121,1.35148255479817,G2
DLX1,4.23477666382024e-121,1.62281042689581,G2
PRDM6,4.89987990814695e-121,1.2906876871634,G2
ZFHX4,1.06092872767961e-120,1.66003372155548,G2
RHOXF2,1.56048544731344e-120,1.57136941338588,G2
NEUROG2,1.67827893687835e-120,1.70964674756312,G2
BHLHE22,1.89924952337207e-120,1.83516897777737,G2
NANOGP8,3.00295202496503e-120,1.85683945328,G2
SIX3,3.20596340070905e-120,1.7202987300917,G2
MSX1,4.36587944256724e-120,1.65738867536046,G2
NR5A1,1.16721238044798e-119,1.41666853858049,G2
POU6F2,1.35424132704101e-119,1.48368850226214,G2
LHX3,3.54838372439789e-119,1.77041701954398,G2
EBF3,4.42445487233991e-119,1.42387072523623,G2
SKOR1,5.84478756921861e-119,1.44959110817992,G2
FOXI2,6.12598308637658e-119,1.46501206533964,G2
MEF2B,1.08407248745176e-118,1.27547777514422,G2
NFIB,1.79672728577805e-118,1.39654126094516,G2
FOXS1,2.14403521707615e-118,1.54886775558033,G2
FOXI3,3.16450410620541e-118,1.45823877722439,G2
FOXD4L5,6.57310291976599e-118,1.59792695065743,G2
FOXD4L1,1.21142049450864e-117,1.59177634154339,G2
DPF1,2.85810518619196e-117,1.62608828847514,G2
NEUROD4,3.76749139762232e-117,1.63615638981257,G2
LHX1,5.48975538653334e-117,1.48402426686647,G2
FOXQ1,5.64944062137676e-117,1.38245475644825,G2
TBPL2,7.66075025099294e-117,1.56485236213125,G2
NEUROG3,8.37835190279943e-117,1.85446397222516,G2
DMRT2,1.13586400262583e-116,1.48728760585095,G2
TEAD1,1.23332160162254e-116,1.38641352160706,G2
FOXD4,1.92873588170644e-116,1.5678232670358,G2
ST18,2.54899068545679e-116,1.3403803602821,G2
SHOX2,3.25002411579729e-116,1.44087425046803,G2
ZNF695,3.7760299686385e-116,1.24400365027046,G2
SEBOX,1.22103372771217e-115,1.83668375217463,G2
NKX6-1,1.60068773627579e-115,1.56775392269179,G2
CUX2,5.63869184281282e-115,1.69441540046937,G2
HEY1,6.92872683629222e-115,1.33224300538876,G2
SOX1,7.87357449032565e-115,1.62733255612773,G2
POU4F3,1.84479340742082e-114,1.41057979740024,G2
HSFX1,2.1791714088472e-114,1.98593835565123,G2
FOXP2,2.32269044840251e-114,1.38342869414803,G2
HMX2,2.54680889936085e-114,1.39758964631523,G2
ESRRG,2.555847115868e-114,1.30178164717369,G2
HMGA2,2.85248634752547e-114,1.6871646542889,G2
